,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
50886,Q323271,Alexander Golitzen,American production designer,Male,United States of America; Russian Empire,Scenographer; production designer; film producer,1908,2005.0,natural causes,97.0
159404,Q1385526,Henry H. Fowler,American lawyer and politician (1908-2000),Male,United States of America,Politician,1908,2000.0,natural causes,92.0
41127,Q236026,Libertad Lamarque,Mexican nationalized argentinian actress and singer (1908-2000),Female,Argentina,Artist,1908,2000.0,natural causes,92.0
3298,Q49086,Simon Wiesenthal,Polish-born Austrian Holocaust survivor noted for his work as a Nazi hunter (1908-2005),Male,Austria,Architect,1908,2005.0,natural causes,97.0
226045,Q1956823,Myron Waldman,American animator (1908-2006),Male,United States of America,Artist,1908,2006.0,natural causes,98.0
29431,Q120085,Martha Gellhorn,journalist from the United States,Female,United States of America,Artist,1908,1998.0,suicide,90.0
799950,Q16014862,Sam M. Fleming,American banker,Male,United States of America,Banker,1908,2000.0,natural causes,92.0
800384,Q16015587,Louise Noun,American activist,Female,United States of America,Art collector,1908,2002.0,suicide,94.0
68456,Q457727,George Duning,American musician and film composer (1908-2000),Male,United States of America,Artist,1908,2000.0,natural causes,92.0
161260,Q1399169,John Hench,Disney artist,Male,United States of America,Artist,1908,2004.0,natural causes,96.0
420463,Q4910828,Bill Shadel,American news anchor,Male,United States of America,Journalist,1908,2005.0,natural causes,97.0
236288,Q2094347,Alistair Cooke,British journalist and broadcaster,Male,United States of America; United Kingdom,Artist,1908,2004.0,natural causes,96.0
9439,Q72229,Edward Dmytryk,Canadian-born American film director (1908-1999),Male,United States of America,Artist,1908,1999.0,natural causes,91.0
319204,Q3276795,James B. Clark,"American film director, film editor, and television director",Male,United States of America,Artist,1908,2000.0,natural causes,92.0
801412,Q16017833,James Maley,British activist,Male,United Kingdom,Military personnel,1908,2007.0,natural causes,99.0
206587,Q1701641,John S. Detlie,American artist,Male,United States of America,Artist,1908,2005.0,natural causes,97.0
48827,Q313591,Don Bradman,Australian cricketer (1908-2001),Male,Australia,Athlete,1908,2001.0,natural causes,93.0
48802,Q313525,Lionel Hampton,"American jazz vibraphonist, pianist, percussionist, bandleader and actor (1908-2002)",Male,United States of America,Artist,1908,2002.0,natural causes,94.0
65690,Q443508,Nedra Volz,American actress,Female,United States of America,Artist,1908,2003.0,natural causes,95.0
76409,Q522582,Penny Singleton,American actress (1908-2003),Female,United States of America,Artist,1908,2003.0,natural causes,95.0
37881,Q205002,Joe Grant,American animator,Male,United States of America,Artist,1908,2005.0,natural causes,97.0
64066,Q434502,Mae Questel,actress (1908-1998),Female,United States of America,Artist,1908,1998.0,natural causes,90.0
621680,Q7647833,Susan Fleming,actress (1908-2002),Female,United States of America,Artist,1908,2002.0,natural causes,94.0
63596,Q432562,Alvino Rey,American swing era musician,Male,United States of America,Artist,1908,2004.0,natural causes,96.0
292129,Q3062892,Gene Raymond,"actor, singer, composer, producer, director",Male,United States of America,Artist,1908,1998.0,natural causes,90.0
615984,Q7498816,Shirley Palmer,American film actress of the 1920s and 1930s,Female,United States of America,Artist,1908,2000.0,accident,92.0
164860,Q1436958,Ford Rainey,American actor,Male,United States of America,Artist,1908,2005.0,natural causes,97.0
92887,Q690713,Otto Natzler,Austrian-American ceramicist,Male,United States of America; Austria,Artist,1908,2007.0,natural causes,99.0
78287,Q536215,Hilda van Stockum,Dutch writer (1908-2006),Female,Kingdom of the Netherlands,Artist,1908,2006.0,natural causes,98.0
128148,Q1067321,Nils Poppe,Swedish entertainer,Male,Sweden,Artist,1908,2000.0,natural causes,92.0
78617,Q538411,"Henri, Count of Paris",French noble,Male,France,Artist,1908,1999.0,natural causes,91.0
240127,Q2161670,Roger Conant,American zoologist,Male,United States of America,Researcher,1909,2003.0,natural causes,94.0
86909,Q604948,Ernesto Calindri,Italian actor,Male,Italy; Kingdom of Italy,Artist,1909,1999.0,natural causes,90.0
235160,Q2078864,Peter W. Rodino,American politician,Male,United States of America,Politician,1909,2005.0,natural causes,96.0
118700,Q958139,Henri Alekan,French cinematographer,Male,France,Cinematographer,1909,2001.0,natural causes,92.0
336652,Q3483094,Sid Raymond,American actor (1909-2006),Male,United States of America,Artist,1909,2006.0,natural causes,97.0
281736,Q2900259,Betty Neels,British writer,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1909,2001.0,natural causes,92.0
468415,Q5486431,Frank Edwards,American blues musician (1909–2002),Male,United States of America,Artist,1909,2002.0,natural causes,93.0
433893,Q5079551,Charles Johnson,Negro League baseball player from the United States,Male,United States of America,Athlete,1909,2006.0,natural causes,97.0
501509,Q5740158,Herman Rose,American artist (1909-2007),Male,United States of America,Artist,1909,2007.0,natural causes,98.0
404690,Q4723889,Alfredo Vázquez Carrizosa,Colombian lawyer,Male,Colombia,Politician,1909,2001.0,natural causes,92.0
60962,Q378326,Hélder Câmara,"Brazilian Catholic priest, archbishop of Olinda and Recife",Male,Brazil,Religious figure,1909,1999.0,natural causes,90.0
51684,Q326178,J. R. Simplot,American businessman,Male,United States of America,Entrepreneur,1909,2008.0,natural causes,99.0
383624,Q4282539,Helen Martin,American actress (1909-2000),Female,United States of America,Artist,1909,2000.0,natural causes,91.0
43785,Q265391,Frances Dee,American actress (1909-2004),Female,United States of America,Artist,1909,2004.0,natural causes,95.0
52123,Q327914,Indro Montanelli,Italian journalist,Male,Italy; Kingdom of Italy,Researcher,1909,2001.0,natural causes,92.0
757286,Q14596226,Jacob E. Smart,Recipient of the Purple Heart medal,Male,United States of America,Military personnel,1909,2006.0,natural causes,97.0
33537,Q154946,Juliana of the Netherlands,Queen of the Netherlands (1948 - 1980),Female,Kingdom of the Netherlands,Monarch,1909,2004.0,natural causes,95.0
64986,Q439668,Karen Morley,American film actress (1909-2003),Female,United States of America,Artist,1909,2003.0,natural causes,94.0
459136,Q5366530,Elmer E. Rasmuson,American banker and politician,Male,United States of America,Politician,1909,2000.0,natural causes,91.0
655327,Q9147737,Alfred Kupka,Polish sportsperson,Male,Poland,Athlete,1909,1929.0,suicide,20.0
408095,Q4766338,Ann Corio,American burlesque performer (1909-1999),Female,United States of America,Artist,1909,1999.0,natural causes,90.0
77246,Q528428,Douglas Fairbanks Jr.,American actor and United States naval officer (1909-2000),Male,United States of America,Artist,1909,2000.0,natural causes,91.0
510571,Q5918997,Howard Armstrong,African American string band and country blues musician,Male,United States of America,Artist,1909,2003.0,natural causes,94.0
43139,Q259364,Eudora Welty,"American short story writer, novelist and photographer (1909-2001)",Female,United States of America,Artist,1909,2001.0,natural causes,92.0
552087,Q6252911,John Pilkington Hudson,English horticultural scientist and bomb disposal expert,Male,United Kingdom,Engineer,1910,2007.0,natural causes,97.0
565611,Q6491111,Larry Siemering,American football player and coach (1910-2009),Male,United States of America,Athlete,1910,2009.0,accident,99.0
284104,Q2953199,Herman Berlinski,American composer,Male,United States of America,Artist,1910,2001.0,natural causes,91.0
298857,Q3109131,Gloria Schoemann,Mexican film editor,Female,Mexico,Artist,1910,2006.0,natural causes,96.0
296422,Q3100975,Genzō Murakami,Japanese writer,Male,Japan,Novelist,1910,2006.0,natural causes,96.0
50161,Q320065,Artie Shaw,"American clarinetist, composer, and bandleader",Male,United States of America,Artist,1910,2004.0,natural causes,94.0
800932,Q16016466,Eugene Hamilton,American medical researcher,Male,United States of America,Artist,1910,2005.0,natural causes,95.0
480165,Q5544461,George Sharrock,American politician,Male,United States of America,Politician,1910,2005.0,accident,95.0
9211,Q71646,Inge Meysel,German actress,Female,Germany,Artist,1910,2004.0,natural causes,94.0
63785,Q433459,Kitty Carlisle,"American stage and screen actress, singer, and spokesperson for the arts",Female,United States of America,Artist,1910,2007.0,natural causes,97.0
323179,Q3315976,Mireille Jospin,French midwife,Female,France,Midwife,1910,2002.0,suicide,92.0
97522,Q715565,Arturo Tolentino,Filipino politician (1910-2004),Male,Philippines,Politician,1910,2004.0,natural causes,94.0
111075,Q878285,Gabriel París Gordillo,President of Colombia (1910-2008),Male,Colombia,Politician,1910,2008.0,natural causes,98.0
115430,Q928456,Marc Lawrence,American actor (1910-2005),Male,United States of America,Artist,1910,2005.0,natural causes,95.0
577538,Q6780467,Mary Orr,American actress (1910-2006),Female,United States of America,Artist,1910,2006.0,natural causes,96.0
46708,Q289364,Rachel Kempson,British actress,Female,United Kingdom,Artist,1910,2003.0,natural causes,93.0
36053,Q179196,Alicia Markova,"English ballerina and a choreographer, director and teacher of classical ballet",Female,United Kingdom,Teacher,1910,2004.0,natural causes,94.0
637815,Q7983913,Wesley Drewett Black,Canadian politician,Male,Canada,Politician,1910,2000.0,natural causes,90.0
138641,Q1231447,Walter Scharf,American composer (1910-2003),Male,United States of America,Artist,1910,2003.0,natural causes,93.0
670974,Q10327392,Matilde Ladrón de Guevara,Chilean writer,Female,Chile,Artist,1910,2009.0,natural causes,99.0
620952,Q7612862,Steve Hokuf,American football player and coach (1910-2000),Male,United States of America,Athlete,1910,2000.0,natural causes,90.0
253394,Q2447874,Bill Pickering,rocket scientist born in New Zealand,Male,United States of America; New Zealand,Researcher,1910,2004.0,natural causes,94.0
253404,Q2448035,Rosemary DeCamp,actress (1910-2001),Female,United States of America,Artist,1910,2001.0,natural causes,91.0
33241,Q151932,Irena Sendler,Polish resistance fighter and Holocaust rescuer,Female,Poland,Social work; clinical nurse specialist; social worker; social activist; activist,1910,2008.0,natural causes,98.0
40827,Q233850,Claire Trevor,American actress (1910–2000),Female,United States of America,Artist,1910,2000.0,natural causes,90.0
150194,Q1331176,Elizabeth Choy,"Singaporean educator, councillor, war heroine (1910-2006)",Female,Singapore; Malaysia,Politician,1910,2006.0,natural causes,96.0
694392,Q11616339,Toshikazu Wakatsuki,Japanese physician (1910-2006),Male,Japan,Physician,1910,2006.0,natural causes,96.0
41002,Q235128,Princess María de las Mercedes of Bourbon-Two Sicilies,Italian princess,Female,Spain,Politician,1910,2000.0,natural causes,90.0
43564,Q263324,William Hanna,American animator and cartoonist (1910-2001),Male,United States of America,Artist,1910,2001.0,natural causes,91.0
589549,Q7121603,Pablo Cuneta,Filipino politician,Male,Philippines,Politician,1910,2000.0,natural causes,90.0
151982,Q1340677,John R. Pierce,"American electrical engineer, acoustics expert, and author",Male,United States of America,Artist,1910,2002.0,natural causes,92.0
580867,Q6834618,Michael Stern,American journalist,Male,United States of America,Journalist,1910,2009.0,natural causes,99.0
269708,Q2698472,Miguel Reale,Brazilian jurist,Male,Brazil,Artist,1910,2006.0,natural causes,96.0
44811,Q273128,Mary Jackson,American actress,Female,United States of America,Artist,1910,2005.0,natural causes,95.0
449757,Q5298245,Dorothea Holt Redmond,American artist,Female,United States of America,Artist,1910,2009.0,natural causes,99.0
571069,Q6685366,Lou Bender,American basketball player,Male,United States of America,Athlete,1910,2009.0,natural causes,99.0
69301,Q462574,Diana Mitford,"British fascist, writer and editor",Female,United States of America; United Kingdom,Artist,1910,2003.0,natural causes,93.0
144202,Q1282886,Eddie Mapp,American country blues harmonicist,Male,United States of America,Artist,1910,1931.0,homicide,21.0
77996,Q534064,Herbert Rudley,American actor (1910-2006),Male,United States of America,Artist,1910,2006.0,natural causes,96.0
432563,Q5076957,Charles Douglass,American sound engineer,Male,Mexico,Engineer,1910,2003.0,natural causes,93.0
202607,Q1693440,Morris Graves,American expressionist painter (1910-2001),Male,United States of America,Artist,1910,2001.0,natural causes,91.0
95497,Q708613,Harold Rhodes,American inventor,Male,United States of America,Engineer,1910,2000.0,natural causes,90.0
362361,Q3850483,Mary Loos,"Actress, screenwriter and novelist (1910-2004)",Female,United States of America,Artist,1910,2004.0,natural causes,94.0
95181,Q707306,Jack Shea,US speed skater,Male,United States of America,Athlete,1910,2002.0,accident,92.0
78779,Q539476,Thelma White,actress (1910-2005),Female,United States of America,Artist,1910,2005.0,natural causes,95.0
373837,Q4116307,Amina Rizk,Egyptian actress,Female,Egypt,Artist,1910,2003.0,natural causes,93.0
76400,Q522486,Muriel Evans,"Actress, radio personality (1910-2000)",Female,United States of America,Artist,1910,2000.0,natural causes,90.0
90992,Q667007,"George Mikhailovich, Count Brasov",Russian noble,Male,Russian Empire,Aristocrat,1910,1931.0,accident,21.0
81966,Q560641,Ji Pengfei,Chinese politician (1910-2000),Male,People's Republic of China; China,Politician,1910,2000.0,suicide,90.0
18427,Q93117,William Norris,CEO of Control Data Corporation,Male,United States of America,Researcher,1911,2006.0,natural causes,95.0
573767,Q6742601,Malcolm Ross,Canadian literary critic,Male,Canada,Literary critic,1911,2002.0,natural causes,91.0
62483,Q395205,Hume Cronyn,Canadian-American actor,Male,Canada; United States of America,Artist,1911,2003.0,natural causes,92.0
840,Q9960,Ronald Reagan,40th president of the United States and actor,Male,United States of America,Artist,1911,2004.0,natural causes,93.0
72231,Q487453,Anatol Rapoport,Russian-born American mathematical psychologist,Male,United States of America; Russian Empire,Researcher,1911,2007.0,natural causes,96.0
494261,Q5672379,Harry Simms,American trade unionist,Male,United States of America,Trade unionist,1911,1932.0,homicide,21.0
428353,Q5004396,Byron Johnson,American baseball player,Male,United States of America,Athlete,1911,2005.0,natural causes,94.0
693571,Q11594849,Matsuyo Akimoto,Japanese playwright,Female,Japan,Artist,1911,2001.0,natural causes,90.0
10904,Q75939,Hans Münch,German physicist,Male,Germany,Researcher,1911,2001.0,natural causes,90.0
